Minute,Player,Squad,xG,Outcome
17,Papu Gómez,Argentina,0.02,Off Target
29,Harry Souttar,Australia,0.08,Blocked
35,Lionel Messi,Argentina,0.04,Goal
50,Lionel Messi,Argentina,0.04,Saved
57,Julián Álvarez,Argentina,0.57,Goal
66,Lionel Messi,Argentina,0.03,Off Target
75,Nicolás Tagliafico,Argentina,0.04,Off Target
77,Craig Goodwin,Australia,0.03,Goal
81,Aziz Behich,Australia,0.08,Blocked
81,Ajdin Hrustic,Australia,0.03,Off Target
88,Lautaro Martínez,Argentina,0.05,Off Target
89,Lautaro Martínez,Argentina,0.35,Off Target
93,Lautaro Martínez,Argentina,0.07,Saved
93,Lionel Messi,Argentina,0.05,Off Target
94,Exequiel Palacios,Argentina,0.07,Blocked
94,Lionel Messi,Argentina,0.07,Blocked
94,Lautaro Martínez,Argentina,0.11,Saved
95,Lionel Messi,Argentina,0.19,Off Target
97,Garang Kuol,Australia,0.38,Saved
