Minute,Player,Squad,xG,Outcome
5,Rodrigo De Paul,Argentina,0.05,Blocked
22,Lionel Messi,Argentina,0.06,Off Target
24,Steven Bergwijn,Netherlands,0.12,Off Target
33,Rodrigo De Paul,Argentina,0.04,Saved
35,Nahuel Molina,Argentina,0.38,Goal
40,Lionel Messi,Argentina,0.06,Saved
63,Lionel Messi,Argentina,0.08,Off Target
73,Lionel Messi (pen),Argentina,0.79,Goal
83,Wout Weghorst,Netherlands,0.05,Goal
85,Steven Berghuis,Netherlands,0.05,Blocked
93,Steven Berghuis,Netherlands,0.11,Blocked
101,Wout Weghorst,Netherlands,0.14,Goal
110,Lionel Messi,Argentina,0.02,Off Target
113,Luuk de Jong,Netherlands,0.08,Blocked
114,Lautaro Martínez,Argentina,0.23,Blocked
115,Enzo Fernández,Argentina,0.04,Blocked
116,Germán Pezzella,Argentina,0.07,Off Target
119,Lautaro Martínez,Argentina,0.04,Saved
120,Lionel Messi,Argentina,0.03,Blocked
121,Enzo Fernández,Argentina,0.03,Woodwork
