Minute,Player,Squad,xG,Outcome
5,Krystian Bielik,Poland,0.12,Blocked
7,Lionel Messi,Argentina,0.04,Saved
9,Ángel Di María,Argentina,0.03,Blocked
10,Lionel Messi,Argentina,0.04,Saved
17,Marcos Acuña,Argentina,0.04,Off Target
22,Kamil Glik,Poland,0.13,Off Target
28,Julián Álvarez,Argentina,0.13,Blocked
28,Marcos Acuña,Argentina,0.05,Off Target
35,Enzo Fernández,Argentina,0.03,Off Target
36,Julián Álvarez,Argentina,0.24,Saved
39,Lionel Messi (pen),Argentina,0.79,Saved
43,Julián Álvarez,Argentina,0.04,Saved
43,Rodrigo De Paul,Argentina,0.56,Saved
44,Ángel Di María,Argentina,0.03,Saved
46,Alexis Mac Allister,Argentina,0.17,Goal
49,Kamil Glik,Poland,0.05,Off Target
53,Michał Skóraś,Poland,0.02,Blocked
53,Lionel Messi,Argentina,0.03,Off Target
56,Lionel Messi,Argentina,0.05,Off Target
56,Julián Álvarez,Argentina,0.18,Blocked
61,Alexis Mac Allister,Argentina,0.16,Saved
64,Lionel Messi,Argentina,0.05,Blocked
67,Julián Álvarez,Argentina,0.13,Goal
71,Lionel Messi,Argentina,0.22,Saved
73,Julián Álvarez,Argentina,0.23,Off Target
86,Lautaro Martínez,Argentina,0.23,Off Target
92,Nicolás Tagliafico,Argentina,0.25,Blocked
