Minute,Player,Squad,xG,Outcome
2,Lionel Messi,Argentina,0.06,Saved
10,Lionel Messi (pen),Argentina,0.79,Goal
21,Papu Gómez,Argentina,0.02,Off Target
42,Lautaro Martínez,Argentina,0.08,Blocked
42,Rodrigo De Paul,Argentina,0.08,Off Target
48,Saleh Al-Shehri,Saudi Arabia,0.06,Goal
53,Nawaf Al Abed,Saudi Arabia,0.06,Blocked
53,Salem Al-Dawsari,Saudi Arabia,0.03,Goal
63,Nicolás Tagliafico,Argentina,0.72,Saved
63,Lisandro Martínez,Argentina,0.12,Blocked
69,Lautaro Martínez,Argentina,0.03,Off Target
72,Ángel Di María,Argentina,0.07,Saved
74,Ángel Di María,Argentina,0.01,Blocked
76,Enzo Fernández,Argentina,0.02,Off Target
80,Lionel Messi,Argentina,0.05,Off Target
84,Lionel Messi,Argentina,0.14,Saved
91,Nicolás Otamendi,Argentina,0.03,Off Target
101,Julián Álvarez,Argentina,0.04,Saved
